location	values	latitude	longitude	region	county	locality
Garland, TX 75042	{'latitude': 32.911702, 'longitude': -96.674838, 'type': 'postalcode', 'name': '75042', 'number': None, 'postal_code': '75042', 'street': None, 'confidence': 1, 'region': 'Texas', 'region_code': 'TX', 'county': 'Dallas County', 'locality': 'Garland', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '75042, Garland, TX, USA'}	32.911702	-96.674838	Texas	Dallas County	Garland
Northridge, CA 91325	{'latitude': 36.531544, 'longitude': -119.586168, 'type': 'region', 'name': 'California', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.3, 'region': 'California', 'region_code': 'CA', 'county': None, 'locality': None, 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'California, USA'}	36.531544	-119.586168	California		
Fargo, ND 58104	{'latitude': 46.867513, 'longitude': -96.82287, 'type': 'locality', 'name': 'Fargo', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'North Dakota', 'region_code': 'ND', 'county': 'Cass County', 'locality': 'Fargo', 'administrative_area': 'Fargo', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Fargo, ND, USA'}	46.867513	-96.82287	North Dakota	Cass County	Fargo
Sunnyvale, CA 94089 (Lakewood area)	{'latitude': 37.412402, 'longitude': -122.015605, 'type': 'postalcode', 'name': '94089', 'number': None, 'postal_code': '94089', 'street': None, 'confidence': 1, 'region': 'California', 'region_code': 'CA', 'county': 'Santa Clara County', 'locality': 'Sunnyvale', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '94089, Sunnyvale, CA, USA'}	37.412402	-122.015605	California	Santa Clara County	Sunnyvale
Winter Haven, FL 33881	{'latitude': 28.056447, 'longitude': -81.711644, 'type': 'postalcode', 'name': '33881', 'number': None, 'postal_code': '33881', 'street': None, 'confidence': 1, 'region': 'Florida', 'region_code': 'FL', 'county': 'Polk County', 'locality': 'Winter Haven', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '33881, Winter Haven, FL, USA'}	28.056447	-81.711644	Florida	Polk County	Winter Haven
Scottsdale, AZ 85253	{'latitude': 33.687647, 'longitude': -111.856562, 'type': 'locality', 'name': 'Scottsdale', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Arizona', 'region_code': 'AZ', 'county': 'Maricopa County', 'locality': 'Scottsdale', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Scottsdale, AZ, USA'}	33.687647	-111.856562	Arizona	Maricopa County	Scottsdale
Atlanta, GA 30334	{'latitude': 33.769805, 'longitude': -84.414581, 'type': 'locality', 'name': 'Atlanta', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Georgia', 'region_code': 'GA', 'county': 'Fulton County', 'locality': 'Atlanta', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Atlanta, GA, USA'}	33.769805	-84.414581	Georgia	Fulton County	Atlanta
San Francisco, CA 94103 (South Of Market area)	{'latitude': 37.778008, 'longitude': -122.431272, 'type': 'locality', 'name': 'San Francisco', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'California', 'region_code': 'CA', 'county': 'San Francisco County', 'locality': 'San Francisco', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'San Francisco, CA, USA'}	37.778008	-122.431272	California	San Francisco County	San Francisco
Lake Forest, IL 60045	{'latitude': 42.235997, 'longitude': -87.864777, 'type': 'postalcode', 'name': '60045', 'number': None, 'postal_code': '60045', 'street': None, 'confidence': 1, 'region': 'Illinois', 'region_code': 'IL', 'county': 'Lake County', 'locality': 'Lake Forest', 'administrative_area': 'Shields Township', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '60045, Lake Forest, IL, USA'}	42.235997	-87.864777	Illinois	Lake County	Lake Forest
Bonita Springs, FL 34134	{'latitude': 26.353032, 'longitude': -81.82405, 'type': 'postalcode', 'name': '34134', 'number': None, 'postal_code': '34134', 'street': None, 'confidence': 1, 'region': 'Florida', 'region_code': 'FL', 'county': 'Lee County', 'locality': 'Bonita Springs', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '34134, Bonita Springs, FL, USA'}	26.353032	-81.82405	Florida	Lee County	Bonita Springs
Pleasanton, CA 94588	{'latitude': 37.669437, 'longitude': -121.885889, 'type': 'locality', 'name': 'Pleasanton', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'California', 'region_code': 'CA', 'county': 'Alameda County', 'locality': 'Pleasanton', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Pleasanton, CA, USA'}	37.669437	-121.885889	California	Alameda County	Pleasanton
Hicksville, NY 11801	{'latitude': 40.762304, 'longitude': -73.524452, 'type': 'postalcode', 'name': '11801', 'number': None, 'postal_code': '11801', 'street': None, 'confidence': 1, 'region': 'New York', 'region_code': 'NY', 'county': 'Nassau County', 'locality': 'Hicksville', 'administrative_area': 'Oyster Bay', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '11801, Hicksville, NY, USA'}	40.762304	-73.524452	New York	Nassau County	Hicksville
Little Rock, AR 72201	{'latitude': 34.746905, 'longitude': -92.280049, 'type': 'postalcode', 'name': '72201', 'number': None, 'postal_code': '72201', 'street': None, 'confidence': 1, 'region': 'Arkansas', 'region_code': 'AR', 'county': 'Pulaski County', 'locality': 'Little Rock', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '72201, Little Rock, AR, USA'}	34.746905	-92.280049	Arkansas	Pulaski County	Little Rock
Salt Lake City, UT	{'latitude': 40.773201, 'longitude': -111.933984, 'type': 'locality', 'name': 'Salt Lake City', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Utah', 'region_code': 'UT', 'county': 'Salt Lake County', 'locality': 'Salt Lake City', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Salt Lake City, UT, USA'}	40.773201	-111.933984	Utah	Salt Lake County	Salt Lake City
Elmsford, NY 10523	{'latitude': 41.059341, 'longitude': -73.819457, 'type': 'postalcode', 'name': '10523', 'number': None, 'postal_code': '10523', 'street': None, 'confidence': 1, 'region': 'New York', 'region_code': 'NY', 'county': 'Westchester County', 'locality': 'Elmsford', 'administrative_area': 'Greenburgh', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '10523, Elmsford, NY, USA'}	41.059341	-73.819457	New York	Westchester County	Elmsford
Riverside, CA 92521 (University area)	{'latitude': 33.949274, 'longitude': -117.36368, 'type': 'locality', 'name': 'Riverside', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'California', 'region_code': 'CA', 'county': 'Riverside County', 'locality': 'Riverside', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Riverside, CA, USA'}	33.949274	-117.36368	California	Riverside County	Riverside
Richland, SC	{'latitude': 34.017759, 'longitude': -80.897399, 'type': 'county', 'name': 'Richland County', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.4, 'region': 'South Carolina', 'region_code': 'SC', 'county': 'Richland County', 'locality': None, 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Richland County, SC, USA'}	34.017759	-80.897399	South Carolina	Richland County	
Altamonte Springs, FL 32714	{'latitude': 28.674628, 'longitude': -81.4065, 'type': 'locality', 'name': 'Altamonte Springs', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Florida', 'region_code': 'FL', 'county': 'Seminole County', 'locality': 'Altamonte Springs', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Altamonte Springs, FL, USA'}	28.674628	-81.4065	Florida	Seminole County	Altamonte Springs
Whippany, NJ 07981	{'latitude': 40.82454, 'longitude': -74.4171, 'type': 'locality', 'name': 'Whippany', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'New Jersey', 'region_code': 'NJ', 'county': 'Morris County', 'locality': 'Whippany', 'administrative_area': 'Hanover Township', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Whippany, NJ, USA'}	40.82454	-74.4171	New Jersey	Morris County	Whippany
Santa Monica, CA 90401 (Wilshire/Montana area)	{'latitude': 34.013666, 'longitude': -118.49375, 'type': 'postalcode', 'name': '90401', 'number': None, 'postal_code': '90401', 'street': None, 'confidence': 1, 'region': 'California', 'region_code': 'CA', 'county': 'Los Angeles County', 'locality': 'Santa Monica', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '90401, Santa Monica, CA, USA'}	34.013666	-118.49375	California	Los Angeles County	Santa Monica
Arlington, TX	{'latitude': 32.685678, 'longitude': -97.102867, 'type': 'locality', 'name': 'Arlington', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Texas', 'region_code': 'TX', 'county': 'Tarrant County', 'locality': 'Arlington', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Arlington, TX, USA'}	32.685678	-97.102867	Texas	Tarrant County	Arlington
Boston, MA 02215	{'latitude': 42.355492, 'longitude': -71.048611, 'type': 'locality', 'name': 'Boston', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Massachusetts', 'region_code': 'MA', 'county': 'Suffolk County', 'locality': 'Boston', 'administrative_area': 'Boston', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Boston, MA, USA'}	42.355492	-71.048611	Massachusetts	Suffolk County	Boston
Madison, WI 53717	{'latitude': 43.067686, 'longitude': -89.521056, 'type': 'postalcode', 'name': '53717', 'number': None, 'postal_code': '53717', 'street': None, 'confidence': 1, 'region': 'Wisconsin', 'region_code': 'WI', 'county': 'Dane County', 'locality': 'Madison', 'administrative_area': 'Madison', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '53717, Madison, WI, USA'}	43.067686	-89.521056	Wisconsin	Dane County	Madison
Andover, MA	{'latitude': 42.655164, 'longitude': -71.140213, 'type': 'locality', 'name': 'Andover', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Massachusetts', 'region_code': 'MA', 'county': 'Essex County', 'locality': 'Andover', 'administrative_area': 'Andover', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Andover, MA, USA'}	42.655164	-71.140213	Massachusetts	Essex County	Andover
Chesapeake, VA 23320	{'latitude': 36.673937, 'longitude': -76.302431, 'type': 'locality', 'name': 'Chesapeake', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Virginia', 'region_code': 'VA', 'county': 'City of Chesapeake', 'locality': 'Chesapeake', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Chesapeake, VA, USA'}	36.673937	-76.302431	Virginia	City of Chesapeake	Chesapeake
New York, NY 10036	{'latitude': 40.759256, 'longitude': -73.989828, 'type': 'postalcode', 'name': '10036', 'number': None, 'postal_code': '10036', 'street': None, 'confidence': 1, 'region': 'New York', 'region_code': 'NY', 'county': 'Kings County', 'locality': 'New York', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '10036, New York, NY, USA'}	40.759256	-73.989828	New York	Kings County	New York
New York, NY 10004 (Financial District area)	{'latitude': 40.688873, 'longitude': -74.018213, 'type': 'postalcode', 'name': '10004', 'number': None, 'postal_code': '10004', 'street': None, 'confidence': 1, 'region': 'New York', 'region_code': 'NY', 'county': 'Kings County', 'locality': 'New York', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '10004, New York, NY, USA'}	40.688873	-74.018213	New York	Kings County	New York
Norwalk, CA 90650	{'latitude': 33.908903, 'longitude': -118.083579, 'type': 'locality', 'name': 'Norwalk', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'California', 'region_code': 'CA', 'county': 'Los Angeles County', 'locality': 'Norwalk', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Norwalk, CA, USA'}	33.908903	-118.083579	California	Los Angeles County	Norwalk
Cheyenne, WY	{'latitude': 41.138437, 'longitude': -104.812406, 'type': 'locality', 'name': 'Cheyenne', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Wyoming', 'region_code': 'WY', 'county': 'Laramie County', 'locality': 'Cheyenne', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Cheyenne, WY, USA'}	41.138437	-104.812406	Wyoming	Laramie County	Cheyenne
Burbank, CA	{'latitude': 34.185797, 'longitude': -118.322584, 'type': 'locality', 'name': 'Burbank', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'California', 'region_code': 'CA', 'county': 'Los Angeles County', 'locality': 'Burbank', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Burbank, CA, USA'}	34.185797	-118.322584	California	Los Angeles County	Burbank
Great Neck, NY 11022	{'latitude': 40.80234, 'longitude': -73.734888, 'type': 'locality', 'name': 'Great Neck', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'New York', 'region_code': 'NY', 'county': 'Nassau County', 'locality': 'Great Neck', 'administrative_area': 'North Hempstead', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Great Neck, NY, USA'}	40.80234	-73.734888	New York	Nassau County	Great Neck
