location	values
Durham, NC 27710 (Duke West Campus area)	{'latitude': 26.33565, 'longitude': -81.750085, 'type': 'address', 'name': '27710 27710/720 Orr Rd', 'number': '27710', 'postal_code': None, 'street': '27710/720 Orr Rd', 'confidence': 0.8, 'region': 'Florida', 'region_code': 'FL', 'county': 'Lee County', 'locality': 'Bonita Springs', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '27710 27710/720 Orr Rd, Bonita Springs, FL, USA'}
Placentia, CA	{'latitude': 33.876211, 'longitude': -117.849809, 'type': 'locality', 'name': 'Placentia', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'California', 'region_code': 'CA', 'county': 'Orange County', 'locality': 'Placentia', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Placentia, CA, USA'}
Lakeland, FL 33811	{'latitude': 27.984396, 'longitude': -82.015259, 'type': 'postalcode', 'name': '33811', 'number': None, 'postal_code': '33811', 'street': None, 'confidence': 1, 'region': 'Florida', 'region_code': 'FL', 'county': 'Polk County', 'locality': 'Lakeland', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '33811, Lakeland, FL, USA'}
Bloomington, IN 47404	{'latitude': 39.16533, 'longitude': -86.52639, 'type': 'locality', 'name': 'Bloomington', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Indiana', 'region_code': 'IN', 'county': 'Monroe County', 'locality': 'Bloomington', 'administrative_area': 'Perry Township', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Bloomington, IN, USA'}
Conshohocken, PA 19428	{'latitude': 40.07928, 'longitude': -75.30157, 'type': 'locality', 'name': 'Conshohocken', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Pennsylvania', 'region_code': 'PA', 'county': 'Montgomery County', 'locality': 'Conshohocken', 'administrative_area': 'Conshohocken', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Conshohocken, PA, USA'}
Westport, CT 06880	{'latitude': 41.121921, 'longitude': -73.340139, 'type': 'locality', 'name': 'Westport', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Connecticut', 'region_code': 'CT', 'county': 'Fairfield County', 'locality': 'Westport', 'administrative_area': 'Westport', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Westport, CT, USA'}
College Park, MD 20740	{'latitude': 38.98067, 'longitude': -76.93692, 'type': 'locality', 'name': 'College Park', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Maryland', 'region_code': 'MD', 'county': "Prince George's County", 'locality': 'College Park', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'College Park, MD, USA'}
Des Moines, IA 50309	{'latitude': 41.584603, 'longitude': -93.620836, 'type': 'postalcode', 'name': '50309', 'number': None, 'postal_code': '50309', 'street': None, 'confidence': 1, 'region': 'Iowa', 'region_code': 'IA', 'county': 'Polk County', 'locality': 'Des Moines', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '50309, Des Moines, IA, USA'}
Modesto, CA 95355	{'latitude': 37.66341, 'longitude': -120.990112, 'type': 'locality', 'name': 'Modesto', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'California', 'region_code': 'CA', 'county': 'Stanislaus County', 'locality': 'Modesto', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Modesto, CA, USA'}
Overland Park, KS	{'latitude': 38.90834, 'longitude': -94.694249, 'type': 'locality', 'name': 'Overland Park', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Kansas', 'region_code': 'KS', 'county': 'Johnson County', 'locality': 'Overland Park', 'administrative_area': 'Overland Park', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Overland Park, KS, USA'}
Lehi, UT 84043	{'latitude': 40.41031, 'longitude': -111.876307, 'type': 'postalcode', 'name': '84043', 'number': None, 'postal_code': '84043', 'street': None, 'confidence': 1, 'region': 'Utah', 'region_code': 'UT', 'county': 'Utah County', 'locality': 'Lehi', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '84043, Lehi, UT, USA'}
Norcross, GA 30071	{'latitude': 33.935542, 'longitude': -84.209851, 'type': 'locality', 'name': 'Norcross', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Georgia', 'region_code': 'GA', 'county': 'Gwinnett County', 'locality': 'Norcross', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Norcross, GA, USA'}
Austin, TX 78759	{'latitude': 30.402665, 'longitude': -97.761062, 'type': 'postalcode', 'name': '78759', 'number': None, 'postal_code': '78759', 'street': None, 'confidence': 1, 'region': 'Texas', 'region_code': 'TX', 'county': 'Travis County', 'locality': 'Austin', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '78759, Austin, TX, USA'}
Salt Lake City, UT 84104	{'latitude': 40.749441, 'longitude': -111.981537, 'type': 'postalcode', 'name': '84104', 'number': None, 'postal_code': '84104', 'street': None, 'confidence': 1, 'region': 'Utah', 'region_code': 'UT', 'county': 'Salt Lake County', 'locality': 'Salt Lake City', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '84104, Salt Lake City, UT, USA'}
Milwaukee, WI 53226	{'latitude': 43.060714, 'longitude': -87.948425, 'type': 'locality', 'name': 'Milwaukee', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Wisconsin', 'region_code': 'WI', 'county': 'Milwaukee County', 'locality': 'Milwaukee', 'administrative_area': 'Milwaukee', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Milwaukee, WI, USA'}
Clayton, NC 27527	{'latitude': 35.648964, 'longitude': -78.46181, 'type': 'locality', 'name': 'Clayton', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'North Carolina', 'region_code': 'NC', 'county': 'Johnston County', 'locality': 'Clayton', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Clayton, NC, USA'}
Los Angeles, CA 90034 (Beverlywood area)	{'latitude': 34.05513, 'longitude': -118.25703, 'type': 'locality', 'name': 'Los Angeles', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'California', 'region_code': 'CA', 'county': 'Los Angeles County', 'locality': 'Los Angeles', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Los Angeles, CA, USA'}
Easton, PA 18045	{'latitude': 40.68843, 'longitude': -75.22073, 'type': 'locality', 'name': 'Easton', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Pennsylvania', 'region_code': 'PA', 'county': 'Northampton County', 'locality': 'Easton', 'administrative_area': 'Easton', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Easton, PA, USA'}
Burlington, NC 27215	{'latitude': 36.083216, 'longitude': -79.452385, 'type': 'locality', 'name': 'Burlington', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'North Carolina', 'region_code': 'NC', 'county': 'Alamance County', 'locality': 'Burlington', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Burlington, NC, USA'}
Bainbridge, GA 39817	{'latitude': 30.906693, 'longitude': -84.57325, 'type': 'locality', 'name': 'Bainbridge', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Georgia', 'region_code': 'GA', 'county': 'Decatur County', 'locality': 'Bainbridge', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Bainbridge, GA, USA'}
Ballinger, TX 76821	{'latitude': 31.738576, 'longitude': -99.934162, 'type': 'postalcode', 'name': '76821', 'number': None, 'postal_code': '76821', 'street': None, 'confidence': 1, 'region': 'Texas', 'region_code': 'TX', 'county': 'Runnels County', 'locality': 'Ballinger', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '76821, Ballinger, TX, USA'}
Collegedale, TN 37315	{'latitude': 35.048266, 'longitude': -85.05155, 'type': 'postalcode', 'name': '37315', 'number': None, 'postal_code': '37315', 'street': None, 'confidence': 1, 'region': 'Tennessee', 'region_code': 'TN', 'county': 'Hamilton County', 'locality': 'Collegedale', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '37315, Collegedale, TN, USA'}
Wixom, MI 48393	{'latitude': 42.52476, 'longitude': -83.53633, 'type': 'locality', 'name': 'Wixom', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Michigan', 'region_code': 'MI', 'county': 'Oakland County', 'locality': 'Wixom', 'administrative_area': 'Wixom', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Wixom, MI, USA'}
Lee's Summit, MO	{'latitude': 38.901098, 'longitude': -94.388895, 'type': 'locality', 'name': "Lee's Summit", 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Missouri', 'region_code': 'MO', 'county': 'Jackson County', 'locality': "Lee's Summit", 'administrative_area': 'Prairie Township', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': "Lee's Summit, MO, USA"}
Phoenix, AZ 85008 (Camelback East area)	{'latitude': 33.462954, 'longitude': -111.985178, 'type': 'postalcode', 'name': '85008', 'number': None, 'postal_code': '85008', 'street': None, 'confidence': 1, 'region': 'Arizona', 'region_code': 'AZ', 'county': 'Maricopa County', 'locality': 'Phoenix', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '85008, Phoenix, AZ, USA'}
Plano, TX	{'latitude': 33.047269, 'longitude': -96.757092, 'type': 'locality', 'name': 'Plano', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Texas', 'region_code': 'TX', 'county': 'Collin County', 'locality': 'Plano', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Plano, TX, USA'}
Alpharetta, GA 30009	{'latitude': 34.06179, 'longitude': -84.272531, 'type': 'locality', 'name': 'Alpharetta', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Georgia', 'region_code': 'GA', 'county': 'Fulton County', 'locality': 'Alpharetta', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Alpharetta, GA, USA'}
Virginia Beach, VA 23462 (Kempsville area)	{'latitude': 36.85293, 'longitude': -75.97798, 'type': 'locality', 'name': 'Virginia Beach', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Virginia', 'region_code': 'VA', 'county': 'City of Virginia Beach', 'locality': 'Virginia Beach', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Virginia Beach, VA, USA'}
Bethesda, MD 20811	{'latitude': 38.98067, 'longitude': -77.10026, 'type': 'locality', 'name': 'Bethesda', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Maryland', 'region_code': 'MD', 'county': 'Montgomery County', 'locality': 'Bethesda', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Bethesda, MD, USA'}
Lakewood, WA 98499 (Park Lodge area)	{'latitude': 46.136272, 'longitude': -112.964593, 'type': 'address', 'name': '464 Washoe Park', 'number': '464', 'postal_code': None, 'street': 'Washoe Park', 'confidence': 1, 'region': 'Montana', 'region_code': 'MT', 'county': 'Deer Lodge County', 'locality': 'Anaconda-Deer Lodge County', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '464 Washoe Park, Anaconda-Deer Lodge County, MT, USA'}
Lakehurst, NJ 08733	{'latitude': 40.013336, 'longitude': -74.321473, 'type': 'locality', 'name': 'Lakehurst', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'New Jersey', 'region_code': 'NJ', 'county': 'Ocean County', 'locality': 'Lakehurst', 'administrative_area': 'Lakehurst', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Lakehurst, NJ, USA'}
San Francisco, CA (Financial District/South Beach area)	{'latitude': 37.778008, 'longitude': -122.431272, 'type': 'locality', 'name': 'San Francisco', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'California', 'region_code': 'CA', 'county': 'San Francisco County', 'locality': 'San Francisco', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'San Francisco, CA, USA'}
Dundee, IL 60118	{'latitude': 42.106331, 'longitude': -88.310654, 'type': 'locality', 'name': 'West Dundee', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Illinois', 'region_code': 'IL', 'county': 'Kane County', 'locality': 'West Dundee', 'administrative_area': 'Dundee Township', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'West Dundee, IL, USA'}
Waukesha, WI 53186	{'latitude': 43.022155, 'longitude': -88.204676, 'type': 'postalcode', 'name': '53186', 'number': None, 'postal_code': '53186', 'street': None, 'confidence': 1, 'region': 'Wisconsin', 'region_code': 'WI', 'county': 'Waukesha County', 'locality': 'Waukesha', 'administrative_area': 'Waukesha', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '53186, Waukesha, WI, USA'}
